Center.x,Center.y,Left.x,Left.y,Right.x,Right.y,Top.x,Top.y,Bottom.x,Bottom.y,avg_value
970.885,857.644,962.552,857.644,979.218,857.644,970.885,851.409,970.885,863.879,73.5495
634.686,856.924,626.175,856.924,643.196,856.924,634.686,850.978,634.686,862.87,66.2446
598.961,856.51,590.565,856.51,607.357,856.51,598.961,851.274,598.961,861.745,59.2727
563.5,856.294,555.911,856.294,571.089,856.294,563.5,851.302,563.5,861.286,57.7708
474.337,856.513,465.698,856.513,482.977,856.513,474.337,850.778,474.337,862.247,74.9579
527.539,855.285,518.532,855.285,536.546,855.285,527.539,848.981,527.539,861.59,73.5072
1361.88,841.367,1355.39,841.367,1368.37,841.367,1361.88,837.657,1361.88,845.077,49.125
1290.42,840.45,1286.74,840.45,1294.11,840.45,1290.42,837.831,1290.42,843.068,48.8611
1325.25,840.132,1318.19,840.132,1332.31,840.132,1325.25,835.901,1325.25,844.362,58.1074
1218.74,839.988,1211.63,839.988,1225.85,839.988,1218.74,835.681,1218.74,844.295,53.6803
1254.41,839.894,1247.43,839.894,1261.4,839.894,1254.41,834.951,1254.41,844.838,61.1936
1183.7,839.933,1176.58,839.933,1190.81,839.933,1183.7,835.148,1183.7,844.719,59.6936
1113.2,839.456,1105.43,839.456,1120.97,839.456,1113.2,834.696,1113.2,844.216,57.2857
1077.15,839.305,1070.38,839.305,1083.91,839.305,1077.15,834.632,1077.15,843.978,59.7456
1042.64,839.107,1036.54,839.107,1048.74,839.107,1042.64,834.961,1042.64,843.254,58.1633
155.43,838.4,149.351,838.4,161.51,838.4,155.43,834.67,155.43,842.129,53.4946
118.986,838.56,112.554,838.56,125.419,838.56,118.986,834.924,118.986,842.197,49.6733
83.155,838.708,77.402,838.708,88.9081,838.708,83.155,834.984,83.155,842.433,51.988
1148.35,839.549,1140.76,839.549,1155.94,839.549,1148.35,834.036,1148.35,845.062,72.4868
1007.06,839.165,999.692,839.165,1014.43,839.165,1007.06,834.529,1007.06,843.8,55.7132
971.756,838.755,965.069,838.755,978.444,838.755,971.756,834.307,971.756,843.203,57.3333
845.039,837.221,839.743,837.221,850.335,837.221,845.039,833.731,845.039,840.711,53.7361
191.403,837.861,185.046,837.861,197.76,837.861,191.403,833.615,191.403,842.107,56.7788
634.169,837.333,625.996,837.333,642.342,837.333,634.169,832.732,634.169,841.933,61.0272
598.893,837.453,591.803,837.453,605.984,837.453,598.893,832.888,598.893,842.017,59.7008
403.659,836.709,398.914,836.709,408.403,836.709,403.659,833.119,403.659,840.299,54.2258
332.836,837.035,325.351,837.035,340.32,837.035,332.836,832.719,332.836,841.351,55.5758
298.124,837.721,290.72,837.721,305.529,837.721,298.124,833.067,298.124,842.376,59.3158
226.859,838.203,219.582,838.203,234.135,838.203,226.859,833.386,226.859,843.019,58.1022
915.269,837.188,906.985,837.188,923.554,837.188,915.269,831.935,915.269,842.441,56.7515
880.015,837.191,871.848,837.191,888.183,837.191,880.015,832.11,880.015,842.273,66.6875
809.426,837.06,801.573,837.06,817.279,837.06,809.426,832.051,809.426,842.07,65.5667
774.425,836.831,766.551,836.831,782.299,836.831,774.425,831.757,774.425,841.905,57.8212
739.892,837.5,731.998,837.5,747.786,837.5,739.892,832.33,739.892,842.67,62.6376
669.047,837.192,660.618,837.192,677.477,837.192,669.047,832.111,669.047,842.273,61.1627
565.079,836.648,557.183,836.648,572.974,836.648,565.079,831.942,565.079,841.354,55.7181
529.95,837.115,522.755,837.115,537.145,837.115,529.95,832.042,529.95,842.187,59.0584
369,837,361.465,837,376.535,837,369,831.741,369,842.259,66.2192
261.95,837.751,253.687,837.751,270.214,837.751,261.95,832.055,261.95,843.448,74.3023
705.001,837.066,695.975,837.066,714.028,837.066,705.001,831.09,705.001,843.041,75.47
473.869,836.158,465.802,836.158,481.936,836.158,473.869,831.112,473.869,841.205,59.0064
438.625,836.836,430.533,836.836,446.716,836.836,438.625,831.384,438.625,842.289,68.5833
1360.01,822.599,1353.79,822.599,1366.24,822.599,1360.01,819.11,1360.01,826.089,49.7865
1324.96,822.083,1318.73,822.083,1331.19,822.083,1324.96,818.567,1324.96,825.598,53.7174
1288.93,821.843,1281.31,821.843,1296.55,821.843,1288.93,816.697,1288.93,826.99,60.4056
1252.74,820.867,1245.11,820.867,1260.38,820.867,1252.74,816.118,1252.74,825.616,55.9407
1217.68,820.094,1210.34,820.094,1225.01,820.094,1217.68,815.806,1217.68,824.383,53.8992
1182.06,820.277,1173.79,820.277,1190.34,820.277,1182.06,814.571,1182.06,825.983,71.4942
1145.82,819.445,1138.44,819.445,1153.2,819.445,1145.82,814.755,1145.82,824.136,55
1074.96,818.745,1069.63,818.745,1080.29,818.745,1074.96,815.117,1074.96,822.374,53.9324
192,817.5,187.465,817.5,196.535,817.5,192,814.706,192,820.294,49.9818
1110.86,818.922,1102.49,818.922,1119.23,818.922,1110.86,813.65,1110.86,824.194,65.4057
